Test Case ID,Title,Environment,Preconditions,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority
1,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Login with both valid username & password,"1. navigate to login page
2. Enter valid Username
3. Enter valid password
4. Click Login",Successful Login,Successful Login but when logging in with other users Username-'locked_out_user' shows Epic sadface: Sorry this user has been locked out.,,High
2,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Login with valid username & invalid password,"1. navigate to login page
2. Enter valid Username
3. Enter invalid Password
4. Click Login",Error wrong password,Epic sadface: Username and password do not match any user in this service,,High
3,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Login with invalid username & valid password,"1. navigate to login page
2. Enter invalid Username
3. Enter valid Password
4. Click Login",Error invalid username,Epic sadface: Username and password do not match any user in this service,,High
4,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Login with both invalid username & password,"1. navigate to login page
2. Enter invalid Username
3. Enter invalid Password
4. Click Login",Error invalid username,Epic sadface: Username and password do not match any user in this service,,High
5,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Login with both username & password fields empty,"1. navigate to login page
2. Leave both the Username & Password field empty
3. Click Login",Error username is required,Epic sadface: Username is required,,High
6,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Login with only username field empty,"1. navigate to login page
2. Leave the Username field empty
3. Enter password
4. Click Login",Error username is required,Epic sadface: Username is required,,High
7,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Login with only password field empty,"1. navigate to login page
2. Enter Username
3. Leave the Password field empty
4. Click Login",Error password is required,Epic sadface: Password is required,,High
8,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Verify space in password field,"1. navigate to login page
2. Enter a Username
3. Enter password with a space on the start or end of the name
4. Click Login",Shows hidden password in dots and error wrong password,Showing password in dots + Epic sadface: Username and password do not match any user in this service,,High
9,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Verify password range limitation,"1. navigate to login page
2. Enter Username
3. Enter password less than 6 characters
4. Click Login

1. navigate to login page
2. Enter Username
3. Enter password more than 15 characters
4. Click Login","Error Password range must be 8 -15 characters",Epic sadface: Username and password do not match any user in this service,,Mid
10,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Verify password is hidden by default,"1. navigate to login page
2. Enter password","Entered password must be hidden, either shows in dots/aesthetics",Showing password in dots,,High
11,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Verify empty input field default placeholder,1. navigate to login page,"Placeholder 'Username' & 'Password' is clearly visible",Placeholders are visible,,Mid
12,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Show/Hide password icon,1. navigate to login page,There must be an icon to show/hide password,No show/hide passowrd icon,,Mid
